ARVORE;LONGITUDE;LATITUDE;DAP;HT
1;-16.1326274871826;-57.6923980712891;16.85;12
2;-16.1327991485596;-57.6923904418945;20.25;11.3
3;-16.1329288482666;-57.6923904418945;22.75;11.74
4;-16.1330814361572;-57.6923027038574;16.85;12.3
5;-16.1332054138184;-57.6922340393066;15.9;11.1
6;-16.1326217651367;-57.6920890808105;16.25;10
7;-16.1328086853027;-57.692066192627;16.75;8.2
8;-16.1329288482666;-57.6920623779297;18.7;9
9;-16.1331214904785;-57.6920280456543;17.25;8.3
10;-16.1324729919434;-57.6918411254883;14.2;10.64
11;-16.1327171325684;-57.6917610168457;20.15;9.4
12;-16.1328620910645;-57.6917457580566;18.45;10.1
13;-16.1329536437988;-57.6917419433594;18.05;10
14;-16.1330604553223;-57.6916999816895;17.4;9.3
15;-16.1331310272217;-57.6915626525879;18.75;10.1
16;-16.13254737854;-57.6916694641113;15.25;11.1
